Naruto: Shippuden S.06 E.20

Jiraiya, "Three of them? What’s going on? How could there be three Rinnegans?"
Jiraiya, "It must be his jutsu… There’s some trick to it."
Shima, "Just when I was busy preparing dinner…"
Fukusaku, "Ma, never mind that. Just focus on the opponent before us!"
Shima, "What did you say?!"
Jiraiya, "I guess it’s about time I made my move!"
Jiraiya, "From this moment on, let Sage Jutsu prevail! Look above, upon the halos and heavenly canopies!"
Jiraiya, "Jiraiya the gallant --"
Fukusaku, Shima, "Quit yakking in my ears!"
Jiraiya, "Erk… Guh…"
Jiraiya, "My posturing keeps getting interrupted today!"
Shima, "Let’s end this quickly and go home! I have to get dinner ready!"
Fukusaku, "Ma, that guy’s eye is more important than dinner!"
Fukusaku, "Stay alert! It’s the ultimate ocular jutsu!"
Shima, "Like I care! Don’t you dare belittle a housewife’s dilemma of what to cook every day, you old geezer!"
Fukusaku, "How dare you use such a tone against me! I was just looking after you!"
Shima, "Don’t give me that!"
Jiraiya, "Ahh! Who are the ones yakking into whose ears again?"
Pain, "Not bad."
Jiraiya, "Now then, can we put your spousal differences aside and get this here over with?"
Shima, "Hmph! Guess I’ll just fry up something!"
Shima, "Boy, you provide the oil. Pa, you bring the Wind Style!"
Jiraiya, "Yes, ma’am!"
Jiraiya, "Sage Art: Bath of Boiling Oil!"
Jiraiya, "Ahh…"
Shima, "Did it work?"
Jiraiya, "The oil vanished?!"
Shima, "They ought to have been basted by it."
Fukusaku, "That one probably has tricks up his sleeve, too."
Jiraiya, "Shall we find out with close combat?"
Fukusaku, "Yes."
Jiraiya, "Massive Rasengan!"
Jiraiya, "He… He can absorb an entire jutsu?! So that’s what he did earlier…"
Fukusaku, "Behind us!"
Jiraiya, "Ah…!"
Fukusaku, "We got his back!"
Jiraiya, "What? He blocked my Sage Mode attack without looking!"
Jiraiya, "Sage Art: Kebari Senbon!"
Jiraiya, "Ah…"
Jiraiya, "Ngh…"
Jiraiya, "Not a single wasted movement. I would’ve gotten him if he’d dodged it…"
Jiraiya, "Instead, he blocked it by summoning without ever turning around."
Jiraiya, "What’s going on? Blocking my attacks not just once, but twice."
Jiraiya, "With no verbal signals or eye contact between them at all… Even if all three were sensory types, they still have to see an attack coming in order to counter it."
Jiraiya, "Kebari Senbon is my fastest jutsu with the widest attack range."
Jiraiya, "The only way to defend oneself against it is with a shield as he just did, and he did it without looking."
